upc,sub_category,category,elasticity_mean,elasticity_sd,hdi_low,hdi_high,prob_elastic,r_hat,ess_bulk
31254742725,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-1.5148933749158429,0.04444447662385125,-1.602,-1.434,1.0,1.0,3487.0
3700044982,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-1.3156374403435755,0.07078739783503663,-1.447,-1.187,1.0,1.0,4301.0
3700031613,MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,-1.169810469378078,0.053946256069445184,-1.272,-1.07,0.999,1.0,3956.0
1600027528,ALL FAMILY CEREAL,COLD CEREAL,-1.1640412865471728,0.03499229463124075,-1.229,-1.098,1.0,1.0,3978.0
88491201426,ADULT CEREAL,COLD CEREAL,-1.1515582200108752,0.06952362249664962,-1.284,-1.026,0.98675,1.0,3480.0
1111035398,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-1.1453521825105049,0.048097162823705984,-1.238,-1.055,0.99925,1.0,3818.0
1111038078,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-1.1075737361646327,0.02527470939075555,-1.154,-1.059,1.0,1.0,3972.0
4116709565,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-0.9904891016276387,0.10110375555307737,-1.177,-0.799,0.46125,1.0,4019.0
1111038080,MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,-0.9820245920841355,0.02543097012225128,-1.031,-0.936,0.24425,1.0,3934.0
7027312504,PRETZELS,BAG SNACKS,-0.8927814515188559,0.060466474714009975,-1.003,-0.775,0.036,1.0,3989.0
1111085350,ALL FAMILY CEREAL,COLD CEREAL,-0.8312269790954292,0.05467714488176262,-0.939,-0.736,0.00075,1.0,3612.0
1111085345,ADULT CEREAL,COLD CEREAL,-0.7513962307962857,0.07536383185829257,-0.898,-0.616,0.00025,1.0,3696.0
3800031829,ALL FAMILY CEREAL,COLD CEREAL,-0.7271357458493259,0.043387530517862205,-0.809,-0.647,0.0,1.0,4196.0
7027316204,PRETZELS,BAG SNACKS,-0.7248186721898036,0.054953975368288346,-0.833,-0.629,0.0,1.0,3912.0
7027316404,PRETZELS,BAG SNACKS,-0.6940391306039582,0.05748375718140656,-0.799,-0.586,0.0,1.0,3879.0
4116709428,MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,-0.6362594567078418,0.11595791448057054,-0.853,-0.424,0.001,1.0,3451.0
1600027564,ALL FAMILY CEREAL,COLD CEREAL,-0.5759564132111193,0.03456508524948914,-0.643,-0.515,0.0,1.0,3856.0
3500068914,MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,-0.2640370055510998,0.08052970345853942,-0.41,-0.11,0.0,1.0,3786.0
1111085319,ALL FAMILY CEREAL,COLD CEREAL,-0.17474791692466946,0.0759904877013549,-0.316,-0.035,0.0,1.0,3798.0
4116709448,MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,-0.1726539778547887,0.1104384977845361,-0.381,0.032,0.0,1.0,3937.0
1111009497,PRETZELS,BAG SNACKS,0.15970390781015278,0.03960982632178392,0.088,0.237,0.0,1.0,3785.0
1111009507,PRETZELS,BAG SNACKS,0.7530554104622039,0.04238237278230766,0.676,0.833,0.0,1.0,3948.0
1111009477,PRETZELS,BAG SNACKS,0.78252435085544,0.040138732414122635,0.71,0.856,0.0,1.0,3863.0
